Date,ADANIENT.NS,ADANIPORTS.NS,APOLLOHOSP.NS,ASIANPAINT.NS,AXISBANK.NS,BAJAJ-AUTO.NS,BAJAJFINSV.NS,BAJFINANCE.NS,BEL.NS,BHARTIARTL.NS,CIPLA.NS,COALINDIA.NS,DRREDDY.NS,EICHERMOT.NS,ETERNAL.NS,GRASIM.NS,HCLTECH.NS,HDFCBANK.NS,HDFCLIFE.NS,HEROMOTOCO.NS,HINDALCO.NS,HINDUNILVR.NS,ICICIBANK.NS,INDUSINDBK.NS,INFY.NS,ITC.NS,JIOFIN.NS,JSWSTEEL.NS,KOTAKBANK.NS,LT.NS,M&M.NS,MARUTI.NS,NESTLEIND.NS,NTPC.NS,ONGC.NS,POWERGRID.NS,RELIANCE.NS,SBILIFE.NS,SBIN.NS,SHRIRAMFIN.NS,SUNPHARMA.NS,TATACONSUM.NS,TATAMOTORS.NS,TATASTEEL.NS,TCS.NS,TECHM.NS,TITAN.NS,TRENT.NS,ULTRACEMCO.NS,WIPRO.NS
2020-04-08,137.75633239746094,244.6891632080078,1246.5814208984375,1552.92724609375,389.6522521972656,2010.006591796875,460.0395812988281,2296.199951171875,20.15635871887207,444.9875793457031,495.0601806640625,88.2886962890625,721.9306030273438,1270.7999267578125,,499.93804931640625,386.94818115234375,853.3250122070312,470.7127990722656,1611.0782470703125,97.54124450683594,2273.84228515625,308.3157653808594,385.46075439453125,561.96875,143.85247802734375,,143.70578002929688,1184.072509765625,751.8414916992188,309.3122253417969,4510.99560546875,1591.86376953125,64.89414978027344,56.47160339355469,67.83568572998047,541.0367431640625,734.8692016601562,172.24771118164062,110.24160766601562,415.2999267578125,283.2658996582031,67.1826400756836,11.053189277648926,1597.08349609375,483.18206787109375,892.3248291015625,459.7658386230469,3178.549072265625,93.43827056884766
2020-04-09,142.0955047607422,245.71334838867188,1262.2626953125,1593.8507080078125,418.3273010253906,2184.179443359375,481.1773376464844,2511.7060546875,21.29470443725586,471.061279296875,559.6038818359375,90.50634002685547,709.8853149414062,1327.181396484375,,517.4446411132812,391.9197082519531,888.0281372070312,466.41656494140625,1760.7642822265625,104.02143096923828,2191.97509765625,331.27392578125,381.8393859863281,566.1060791015625,149.1669464111328,,154.58132934570312,1269.0657958984375,757.1511840820312,361.432861328125,5114.51318359375,1588.8870849609375,66.34130096435547,58.63338851928711,70.44888305664062,553.6532592773438,731.5549926757812,176.7186279296875,125.14537048339844,432.1800842285156,297.3618469238281,74.1394271850586,11.459512710571289,1653.926513671875,471.38128662109375,990.40283203125,461.7536315917969,3285.527587890625,95.27893829345703
2020-04-13,145.6366729736328,256.3944396972656,1261.8189697265625,1622.32373046875,417.13250732421875,2149.74853515625,448.3501892089844,2251.31787109375,21.400951385498047,493.71307373046875,572.396728515625,93.78462982177734,734.3973388671875,1294.1763916015625,,531.0501098632812,382.8957214355469,859.516845703125,471.8979797363281,1697.2196044921875,110.06637573242188,2168.13623046875,319.62567138671875,396.324951171875,567.1293334960938,146.2279052734375,,155.83619689941406,1247.1322021484375,806.1964111328125,343.85400390625,5072.7451171875,1566.265625,67.52190399169922,56.92671585083008,68.52111053466797,539.67529296875,700.1935424804688,172.7183380126953,119.43380737304688,439.6929626464844,293.5130920410156,73.79158782958984,11.366982460021973,1647.465087890625,455.4740295410156,944.4898681640625,451.06951904296875,3383.184326171875,91.64603424072266
2020-04-15,144.8885498046875,262.2958679199219,1341.8538818359375,1658.373291015625,415.48968505859375,2093.7978515625,459.1011962890625,2148.1171875,21.12774658203125,492.074462890625,571.9139404296875,94.39529418945312,746.3544311523438,1285.904541015625,,522.1748657226562,400.0246887207031,828.74951171875,465.8733825683594,1613.244873046875,111.32372283935547,2298.513671875,316.4356994628906,409.5550842285156,568.597412109375,152.46835327148438,,159.32191467285156,1170.2144775390625,819.89013671875,334.6617736816406,4891.416015625,1634.76171875,68.47398376464844,56.395751953125,68.3497543334961,521.839599609375,693.4166259765625,171.6359100341797,122.70153045654297,427.1873779296875,303.71221923828125,72.44992065429688,11.471579551696777,1624.8961181640625,465.6754150390625,930.0321044921875,451.6160583496094,3514.02734375,90.36241149902344
2020-04-16,142.9434051513672,261.0278015136719,1403.889404296875,1682.40625,420.71685791015625,2092.36328125,469.133544921875,2185.076171875,21.552730560302734,482.3871765136719,579.7345581054688,94.74884033203125,756.7530517578125,1291.356201171875,,530.3185424804688,384.1490478515625,844.5410766601562,483.6510009765625,1576.5865478515625,116.59490966796875,2250.97314453125,330.5971984863281,420.467529296875,555.0731201171875,150.0526885986328,,158.62478637695312,1127.443603515625,849.2334594726562,338.0260009765625,4926.46240234375,1688.48193359375,72.4346694946289,57.2301139831543,69.99906921386719,530.099365234375,677.9337158203125,177.42454528808594,126.12662506103516,440.97686767578125,311.79449462890625,74.18912506103516,11.622441291809082,1607.0098876953125,447.52044677734375,962.4642944335938,457.5296936035156,3454.43798828125,90.99211883544922
2020-04-17,143.5419158935547,261.5642395019531,1355.2176513671875,1695.0986328125,476.7228698730469,2133.250244140625,499.09075927734375,2271.83984375,21.643800735473633,484.31494140625,577.3690795898438,95.61662292480469,770.2586059570312,1426.466796875,,532.0741577148438,380.3890380859375,873.8685913085938,489.37933349609375,1623.680908203125,120.07679748535156,2203.75634765625,363.02862548828125,458.1783142089844,559.432861328125,151.46182250976562,,164.80616760253906,1182.6767578125,869.0284423828125,344.1856384277344,5285.76025390625,1634.6107177734375,72.73932647705078,57.87485885620117,71.86255645751953,555.4912719726562,694.9500732421875,181.89547729492188,148.49154663085938,434.70025634765625,312.2275085449219,76.37553405761719,11.80146598815918,1691.4315185546875,440.7771301269531,952.9397583007812,485.6562805175781,3449.508544921875,90.58039093017578
2020-04-20,146.33494567871094,263.8565368652344,1431.0118408203125,1670.1968994140625,453.9720153808594,2132.488037109375,487.3664245605469,2271.938232421875,22.87321662902832,472.603515625,565.2037963867188,92.69186401367188,753.6364135742188,1372.77978515625,,508.7645568847656,392.7135314941406,907.0357666015625,502.0212097167969,1597.104736328125,112.62942504882812,2158.98876953125,349.25372314453125,441.03704833984375,581.2763061523438,145.50320434570312,,155.69676208496094,1174.202392578125,852.9129638671875,337.220458984375,5119.02587890625,1601.78515625,75.32898712158203,56.13026428222656,70.89867401123047,564.4772338867188,692.5261840820312,181.18954467773438,126.83014678955078,450.20147705078125,312.4199523925781,79.95330810546875,11.521867752075195,1703.0906982421875,453.74493408203125,952.9397583007812,475.41937255859375,3432.42724609375,87.7225112915039
2020-04-21,135.6116943359375,258.6867370605469,1332.5831298828125,1665.90185546875,418.8251037597656,2083.127685546875,458.6969299316406,2066.718017578125,23.04017448425293,482.43536376953125,571.6725463867188,89.34931182861328,787.2827758789062,1303.2978515625,,496.9634094238281,380.76507568359375,884.7642822265625,490.2188415527344,1616.2962646484375,103.58618927001953,2141.293701171875,320.7856750488281,387.1025085449219,563.3922729492188,144.61746215820312,,148.35345458984375,1126.7457275390625,810.7610473632812,314.6664123535156,4801.92822265625,1605.460205078125,74.1103286743164,52.6031608581543,69.67776489257812,561.5499877929688,664.1326293945312,173.8948974609375,108.97340393066406,449.96368408203125,300.5851135253906,74.18912506103516,10.699164390563965,1627.237548828125,443.4571533203125,915.0371704101562,470.54937744140625,3321.837646484375,86.24512481689453
2020-04-22,137.25758361816406,265.22216796875,1329.7720947265625,1749.8724365234375,429.2795715332031,2133.74365234375,476.7351379394531,2114.455322265625,23.252668380737305,483.3028564453125,566.9417114257812,90.44207763671875,795.2017211914062,1323.4146728515625,,497.7923583984375,386.3632507324219,891.4360961914062,497.4286804199219,1669.44921875,104.74681854248047,2204.819091796875,324.7489929199219,401.63629150390625,571.0887451171875,146.7512969970703,,149.8406982421875,1148.6795654296875,794.2262573242188,322.3898010253906,4974.51953125,1664.591552734375,74.33883666992188,49.569091796875,69.48499298095703,618.8463134765625,697.2749633789062,177.61280822753906,112.20409393310547,451.10491943359375,317.663818359375,75.43140411376953,10.795716285705566,1657.063720703125,448.0823669433594,929.3971557617188,470.6488037109375,3358.830810546875,86.48731994628906
2020-04-23,140.15036010742188,270.78216552734375,1365.0308837890625,1758.2213134765625,428.184326171875,2179.427490234375,472.12823486328125,2138.2744140625,23.07052993774414,478.0978088378906,566.4589233398438,90.57062530517578,789.3800659179688,1358.669921875,,488.08819580078125,399.1473693847656,916.7315673828125,482.4657897949219,1649.417236328125,107.60002899169922,2141.385986328125,341.18218994140625,395.8904113769531,604.4100341796875,145.38243103027344,,148.67877197265625,1245.8858642578125,783.0478515625,329.3075866699219,4950.99560546875,1645.15478515625,72.51081848144531,51.08612823486328,67.68575286865234,622.1593627929688,709.9877319335938,175.73031616210938,119.15609741210938,454.0530090332031,317.4714050292969,75.18294525146484,10.874166488647461,1758.9034423828125,452.750732421875,891.494384765625,495.8434753417969,3359.855712890625,87.62561798095703
