Date,AAPL,GOOG,MSFT
2019-01-02,37.667171478271484,52.105281829833984,95.11981964111328
2019-01-03,33.915252685546875,50.62111282348633,91.62056732177734
2019-01-04,35.363067626953125,53.34383010864258,95.88175964355469
2019-01-07,35.28437042236328,53.22824478149414,96.0040512084961
2019-01-08,35.956993103027344,53.62133026123047,96.70013427734375
2019-01-09,36.56760025024414,53.54062271118164,98.08291625976562
2019-01-10,36.684478759765625,53.32489776611328,97.4526596069336
2019-01-11,36.32432174682617,52.670249938964844,96.70013427734375
2019-01-14,35.778106689453125,52.047489166259766,95.99463653564453
2019-01-15,36.51036071777344,53.6646728515625,98.77898406982422
2019-01-16,36.95638656616211,53.85499572753906,99.12702941894531
2019-01-17,37.17583465576172,54.299896240234375,99.82316589355469
2019-01-18,37.40481185913086,54.71639633178711,101.31877899169922
2019-01-22,36.565216064453125,53.33436584472656,99.40924072265625
2019-01-23,36.713104248046875,53.585960388183594,100.37811279296875
2019-01-24,36.422096252441406,53.50275802612305,99.89837646484375
2019-01-25,37.629024505615234,54.35419845581055,100.8108139038086
2019-01-28,37.28077697753906,53.312442779541016,98.8448486328125
2019-01-29,36.894378662109375,52.84113311767578,96.83184814453125
2019-01-30,39.41553497314453,54.25804138183594,100.06769561767578
2019-01-31,39.69937515258789,55.618656158447266,98.2333984375
2019-02-01,39.71846008300781,55.338661193847656,96.68131256103516
2019-02-04,40.8466682434082,56.43721389770508,99.46568298339844
2019-02-05,41.54552459716797,57.09435272216797,100.85786437988281
2019-02-06,41.55984115600586,55.561859130859375,99.73847961425781
2019-02-07,40.7727165222168,54.73881912231445,99.02356719970703
2019-02-08,40.82063293457031,54.556968688964844,99.39982604980469
2019-02-11,40.58586883544922,54.554481506347656,99.0047607421875
2019-02-12,40.935611724853516,55.867759704589844,100.54743957519531
2019-02-13,40.76552200317383,55.80747604370117,100.4721908569336
2019-02-14,40.9140510559082,55.88270950317383,100.556884765625
2019-02-15,40.823028564453125,55.4831428527832,101.79852294921875
2019-02-19,40.94518280029297,55.72776794433594,101.7514877319336
2019-02-20,41.208702087402344,55.49061965942383,101.22248077392578
2019-02-21,40.9763298034668,54.652130126953125,103.35745239257812
2019-02-22,41.43385696411133,55.31973648071289,104.83113861083984
2019-02-25,41.73569107055664,55.27140426635742,105.41682434082031
2019-02-26,41.759639739990234,55.556880950927734,106.14424896240234
2019-02-27,41.88899612426758,55.60271453857422,105.96475219726562
2019-02-28,41.47697830200195,55.7955207824707,105.8324966430664
2019-03-01,41.91293716430664,56.845252990722656,106.30484771728516
2019-03-04,42.12374496459961,57.18452835083008,106.0497817993164
2019-03-05,42.047088623046875,57.89348220825195,105.5207748413086
2019-03-06,41.805145263671875,57.68572998046875,105.56800079345703
2019-03-07,41.3212776184082,56.96033477783203,104.28323364257812
2019-03-08,41.419490814208984,56.91151428222656,104.3966064453125
2019-03-11,42.85435104370117,58.57752227783203,106.58824157714844
2019-03-12,43.335838317871094,59.44640350341797,107.33455657958984
2019-03-13,43.52747344970703,59.4523811340332,108.16585540771484
2019-03-14,44.011356353759766,59.06527328491211,108.25089263916016
2019-03-15,44.5838623046875,59.01096725463867,109.49784851074219
2019-03-18,45.038997650146484,59.001007080078125,111.06604766845703
2019-03-19,44.682071685791016,59.7278938293457,111.14160919189453
2019-03-20,45.07253646850586,60.979393005371094,111.01879119873047
2019-03-21,46.73255920410156,61.35654067993164,113.56944274902344
2019-03-22,45.764808654785156,60.0592041015625,110.5748062133789
2019-03-25,45.21146774291992,59.436439514160156,111.15106964111328
2019-03-26,44.74435043334961,59.01893997192383,111.38721466064453
2019-03-27,45.14679718017578,58.441017150878906,110.310302734375
2019-03-28,45.206668853759766,58.21532440185547,110.46145629882812
2019-03-29,45.501312255859375,58.45546340942383,111.41556549072266
2019-04-01,45.81033706665039,59.50768280029297,112.43580627441406
2019-04-02,46.476261138916016,59.80959701538086,112.59640502929688
2019-04-03,46.79484558105469,60.08012771606445,113.33326721191406
2019-04-04,46.87629699707031,60.532501220703125,112.75700378417969
2019-04-05,47.19009780883789,60.14140319824219,113.25770568847656
2019-04-08,47.93267822265625,59.97650146484375,113.29546356201172
2019-04-09,47.78895568847656,59.64817428588867,112.68143463134766
2019-04-10,48.05723190307617,59.89280319213867,113.54109954833984
2019-04-11,47.657203674316406,60.015357971191406,113.67334747314453
2019-04-12,47.63802719116211,60.67548751831055,114.25904846191406
2019-04-15,47.72426986694336,60.83641052246094,114.35352325439453
2019-04-16,47.72906494140625,61.13682556152344,114.0890121459961
2019-04-17,48.658485412597656,61.595680236816406,115.03369140625
2019-04-18,48.83335876464844,61.59717559814453,116.54519653320312
2019-04-22,48.993858337402344,62.21844482421875,116.91361236572266
2019-04-23,49.70051574707031,63.001129150390625,118.50066375732422
2019-04-24,49.62385940551758,62.575157165527344,118.09445190429688
2019-04-25,49.17350769042969,62.94633102416992,122.00542449951172
2019-04-26,48.93876266479492,63.38126754760742,122.70447540283203
2019-04-29,49.013023376464844,64.14850616455078,122.59111785888672
2019-04-30,48.06922149658203,59.211246490478516,123.37525177001953
2019-05-01,50.42873001098633,58.19489669799805,120.8056869506836
2019-05-02,50.100547790527344,57.92237854003906,119.22806549072266
2019-05-03,50.72336196899414,59.05780029296875,121.76924896240234
2019-05-06,49.940067291259766,59.256587982177734,121.06076049804688
2019-05-07,48.59382247924805,58.49482727050781,118.57624816894531
2019-05-08,48.603397369384766,58.10472106933594,118.56678009033203
2019-05-09,48.081199645996094,57.910919189453125,118.5573501586914
